,0,1,2,3,4,5,6
345,2014-06-09,70.8,0,28.7,22.9,18.5,176.8181818
346,2014-06-10,72,5.5,29.3,23.6,20,460.1818182
347,2014-06-11,87.1,19,26.9,20.5,18.3,224.3636364
348,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
349,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
350,2014-05-17,48,0,26.2,20,14.3,57
351,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
352,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
353,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
354,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
355,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
356,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
357,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
358,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
359,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
360,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
361,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
362,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
363,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
364,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
365,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
366,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
367,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
368,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
369,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
370,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
371,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
372,2014-06-08,75.3,0,24.5,21.4,19.2,100.4545455
373,2014-06-09,70.8,0,28.7,22.9,18.5,176.8181818
374,2014-06-10,72,5.5,29.3,23.6,20,460.1818182
375,2014-06-11,87.1,19,26.9,20.5,18.3,224.3636364
376,2014-06-12,73.9,0.1,27.1,21.2,17.3,221.0909091
377,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
378,2014-05-17,48,0,26.2,20,14.3,57
379,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
